algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
astar, gap, Pancake28, 20 9 2 16 25 13 10 14 0 21 24 22 17 11 3 6 18 1 15 26 27 5 23 8 7 19 12 4 , 27, 26, 407933, 0.700000, 582761.428571
astar, gap, Pancake28, 23 24 21 10 12 2 18 16 19 27 13 20 11 17 6 1 3 7 4 14 0 15 8 5 25 9 26 22 , 27, 27, 1301, 0.000000, inf
astar, gap, Pancake28, 10 5 7 18 13 3 19 16 20 8 15 12 6 21 1 22 9 25 27 23 14 24 0 17 4 2 26 11 , 28, 28, 30213, 0.030000, 1007100.000000
astar, gap, Pancake28, 7 23 25 22 0 1 26 11 6 14 17 5 16 20 2 4 21 18 12 19 3 13 9 15 24 8 27 10 , 27, 27, 729, 0.000000, inf
astar, gap, Pancake28, 7 10 8 1 9 2 24 5 12 25 20 6 26 14 17 4 19 0 18 13 22 27 3 11 16 23 21 15 , 29, 28, 307161, 0.440000, 698093.181818
astar, gap, Pancake28, 1 3 15 9 13 11 17 22 21 26 18 24 25 20 8 6 7 2 23 27 19 12 10 4 16 14 0 5 , 26, 25, 9725, 0.010000, 972500.000000
astar, gap, Pancake28, 24 7 10 15 22 9 13 19 1 4 0 27 14 23 11 6 20 12 5 25 2 18 8 16 3 17 21 26 , 28, 28, 33723, 0.040000, 843075.000000
astar, gap, Pancake28, 4 13 15 11 1 8 14 19 7 2 20 17 3 18 9 6 12 22 21 10 5 25 16 0 26 27 24 23 , 26, 25, 80159, 0.100000, 801590.000000
astar, gap, Pancake28, 2 24 20 27 22 19 7 8 0 21 6 13 4 3 15 16 5 17 25 14 23 26 12 9 11 10 18 1 , 25, 24, 129346, 0.190000, 680768.421053
astar, gap, Pancake28, 26 1 6 21 14 3 22 8 10 5 27 7 12 18 2 19 11 13 15 20 0 23 9 17 4 16 24 25 , 28, 27, 45942, 0.060000, 765700.000000
astar, gap, Pancake28, 20 23 7 5 6 11 12 8 1 14 16 9 18 0 3 19 22 27 25 26 24 17 21 10 15 4 13 2 , 26, 25, 69911, 0.090000, 776788.888889
astar, gap, Pancake28, 19 3 24 10 25 13 27 5 7 22 1 6 21 4 26 2 20 0 18 15 11 9 12 23 17 16 14 8 , 28, 27, 217019, 0.350000, 620054.285714
astar, gap, Pancake28, 23 13 24 10 11 27 22 19 20 4 8 12 5 9 18 16 7 14 17 6 2 26 3 0 25 1 21 15 , 26, 26, 3745, 0.000000, inf
